"UID","Website"
1192,"http://aikidobushidocenter.gr/"
1801,"http://aikidoschoolathens.gr/"
557,"http://aikidotrainingcenter.gr/"
1335,"http://aikidozanshin.gr/"
810,"http://athensaikidosociety.gr"
924,"http://black-belt.gr/"
708,"http://dojo.inochikan.com/index.php/gr/"
1266,"http://martialway.gr/"
1569,"http://nishimachidojo.blogspot.com/"
1206,"http://sei-ki-dojo8.webnode.gr/"
1616,"http://shudokan.gr/"
544,"http://unitedaikidodojos.gr/en/"
1175,"http://www.aikido-dojo.gr/"
913,"http://www.aikidoacademy.gr/"
1776,"http://www.aikidoathens.gr/"
1193,"http://www.aikidobushidocenter.gr/"
616,"http://www.aikidocenter.gr/index_new_01.htm"
524,"http://www.aikidojutaidokan.gr/?lang=el"
1337,"http://www.aikidokobukan.gr/"
1552,"http://www.aikidokoushikan.gr"
1523,"http://www.aikidorandori.gr/"
1795,"http://www.athensaikido.gr/?page_id=32&lang=gr"
824,"http://www.budolife.gr/"
1075,"http://www.geobukan.gr/"
952,"http://www.hakushinkai-athens.gr/greek/home.html"
1124,"http://www.hellenicaikido.gr/"
1104,"http://www.kantzaaikikai.gr/el/aikido-3/"
1342,"http://www.ma-foundation.gr/"
558,"http://www.meikonkan.gr/"
1315,"http://www.monastirakidojo.com/"
1204,"http://www.sei-ki-dojoathens.com/"
105,"http://www.shinkendo.gr/"
764,"http://www.shudokan.gr/"
1265,"http://www.titanasgym.com/"
1267,"http://www.titanasgym.gr/"
1654,"http://www.tokaido.gr/"
791,"http://www.warriors-spirit.gr/"
1620,"http://www.zencenterathens.com"
834,"https://aikidokobayashihellas.wordpress.com/"
1338,"https://aikidokobukan.wordpress.com/"
1300,"https://aikidomushindokan.gr/index.php"
1250,"www.aikidoarts.gr"
170,"www.aikidoathens.gr/"
1568,"www.aikidogreece.gr"
1420,"www.aikidokenwakai.gr"
1623,"www.aikidorandori.gr"
1318,"www.monastirakidojo.com/"
1316,"www.tokaido.gr/"
